Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;14.585;138.2;0.499;1.6;173.5;0.47;149.6;0.472;146.4;0.812;0.609;33.1;139.9;0.809;148.5;0.786;37;81.27084194
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;15.895;140.4;0.536;0.21;177.3;0.47;148.5;0.486;150.7;0.759;0.606;36.26;142;0.78;150.7;0.766;37.6;81.24201721
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;14.36;143.1;0.49;3.82;171.3;0.491;147.5;0.5;145.3;0.825;0.55;33.65;134.4;0.83;141;0.818;35.1;81.29468528
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;13.8;139.9;0.52;5.28;168.1;0.503;145.3;0.511;149.6;0.801;0.675;40;133.4;0.817;141;0.81;35.1;81.29388778
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;14.48;151.2;0.468;1.8;168.6;0.497;149.1;0.479;146.9;0.805;0.65;33.76;133.8;0.802;141.4;0.803;35.2;81.29273728
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;15.4;145.8;0.511;8.29;171.9;0.479;146.9;0.489;144.7;0.788;0.555;39.25;134.9;0.784;140.3;0.794;35;81.25291411
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;;141;0.482;9.36;156.1;0.489;143.1;0.49;146.4;0.511;0.347;18.1;141;0.556;143.1;0.566;35.7;81.22808954
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;10.3;151.7;0.456;3.5;176.8;0.434;150.6;0.442;152.8;0.802;0.586;32.71;147.3;0.794;155;0.801;38.6;81.27855091
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;13.29;146.2;0.473;3;167;0.478;158.3;0.443;152.8;0.792;0.67;19.55;137.5;0.795;148.4;0.802;37;81.25979027
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;14.62;150.3;0.469;6.3;181;0.455;155.8;0.449;153.6;0.835;0.221;42.09;144.8;0.808;151.4;0.814;37.7;81.28321798
